Date,BillNo,Description,Qty,Rate,Gross Amnt,Discount,Net Amnt
2/5/2074,SI4264,Kaju 100g,1,170,170,,170
2/5/2074,SI4264,Mix 130gm,1,35,35,,35
2/5/2074,SI4264,Kismiss yellow 100gm,1,32,32,,32
2/5/2074,SI4265,Bailley Drinking water 1ltr,2,30,60,,60
2/5/2074,SI4265,Britannia suger free 200gr,1,140,140,,140
2/5/2074,SI4266,Dhara health sunflower 1lt,2,195,390,,390
2/5/2074,SI4267,Cabuli chana sano  1kg,1,195,195,,195
2/5/2074,SI4268,Cadbury celebration 141.9gm,1,162,162,,162
2/5/2074,SI4268,Cadbury celebration 199g,1,255,255,,255
2/5/2074,SI4269,Choco pie 12 pc,1,200,200,,200
2/5/2074,SI4269,Tang Mango 225gramm,1,150,150,,150
2/5/2074,SI4269,Gyan Chakki aata 5 kg,1,255,255,,255
2/5/2074,SI4269,Salt 1KG,1,20,20,,20
2/5/2074,SI4270,DDC dairy Ghee 1/2 ltr,1,375,375,,375
2/5/2074,SI4271,Axion tube 175g,1,85,85,,85
2/5/2074,SI4271,Exo safai big,1,24,24,,24
2/5/2074,SI4271,Taichin Rice 1 kg,1,105,105,,105
2/5/2074,SI4272,Desi badam 200gm,1,300,300,,300
2/5/2074,SI4272,Dairy milk silk roast almond 145 gm,1,300,300,,300
2/5/2074,SI4272,Pawn big,2,30,60,,60
2/5/2074,SI4272,Pesta 200gm,1,335,335,,335
2/5/2074,SI4273,Chocolate 1000 ml,1,250,250,,250
2/5/2074,SI4274,Musuro nepali 500gm,1,88,88,,88
2/5/2074,SI4274,Musuro Nepali 1kg,2,175,350,,350
2/5/2074,SI4275,Bounty 57g,1,80,80,,80
2/5/2074,SI4275,Happydentprotex,6,10,60,,60
2/5/2074,SI4275,Wallnut dana 200gm,1,135,135,,135
2/5/2074,SI4275,Fry kaju 100g,1,150,150,,150
2/5/2074,SI4275,DDS corn flakes (Sugar free ),1,100,100,,100
2/5/2074,SI4276,Real  pomegranate 1ltr,1,210,210,,210
2/5/2074,SI4276,Real mango 1 ltr,1,200,200,,200
2/5/2074,SI4276,Sagun chicken sausage 500gm,1,510,510,,510
2/5/2074,SI4276,Mcv Digestive  250gm,1,88,88,,88
2/5/2074,SI4276,Good night turbo combi pack,1,130,130,,130
2/5/2074,SI4276,Real guava small 200ml,1,30,30,,30
2/5/2074,SI4277,Nimkin 1/2 kg,2,160,320,,320
2/5/2074,SI4277,Mung ko khosta1kg,1,180,180,,180
2/5/2074,SI4277,Hariyo kerau 1/2 kg,1,40,40,,40
2/5/2074,SI4277,Jeera dana 200 gm,1,90,90,,90
2/5/2074,SI4277,Lwang suku mix 50gm,1,100,100,,100
2/5/2074,SI4278,kinder joy for girls,1,70,70,,70
2/5/2074,SI4278,Crosson,1,80,80,,80
2/5/2074,SI4278,Soan papdi veg 500g,1,285,285,,285
2/5/2074,SI4279,kinder joy for girls,1,70,70,,70
2/5/2074,SI4279,Bag 2 kg,1,5,5,,5
2/5/2074,SI4279,Twix 60gm,3,85,255,,255
2/5/2074,SI4279,Sunslick stunning lack shine shampoo 700ml,1,415,415,,415
2/5/2074,SI4280,Sprite 2.25ltr,1,180,180,,180
2/5/2074,SI4281,H & S antidandruff shampoo clean & balanced 330ml,1,340,340,,340
2/5/2074,SI4281,Fogg bleu ocean 120 ml,1,420,420,,420
2/5/2074,SI4281,Dhara pure mustard oil 1 ltr,2,205,410,,410
2/5/2074,SI4281,Lifebuoy care 85gm,2,22,44,,44
2/5/2074,SI4281,Imperial big 200g,6,80,480,,480
2/5/2074,SI4282,Cadbury celebration 141.9gm,2,162,324,,324
2/5/2074,SI4283,Colgate flexi black brush,1,35,35,,35
2/5/2074,SI4283,Dhara health sunflower 1lt,1,195,195,,195
2/5/2074,SI4283,Bhujiya 340gm,1,105,105,,105
2/5/2074,SI4283,Bhuja Big,1,45,45,,45
2/5/2074,SI4283,Dairy milk silk bubbly 50 gm,2,150,300,,300
2/5/2074,SI4283,Colgate zing zang,1,38,38,,38
2/5/2074,SI4283,Salt 1KG,2,20,40,,40
2/5/2074,SI4283,Sugar 1 kg,2,84,168,,168
2/5/2074,SI4284,Besan 200 g,1,40,40,,40
2/5/2074,SI4284,Stay free secure 8pads,1,55,55,,55
2/5/2074,SI4285,Harpic rose 650ml,1,115,115,,115
2/5/2074,SI4285,DDC Dairy ghee 1ltr,1,750,750,,750
2/5/2074,SI4286,Sugar 1 kg,25,84,2100,,2100
2/5/2074,SI4287,Parade 1 roll,1,450,450,,450
2/5/2074,SI4287,Signature rare whiskey 180ml,1,335,335,,335
2/5/2074,SI4288,Radish pickle 800gm,1,185,185,,185
2/5/2074,SI4289,Khapse 200gm,1,70,70,,70
2/5/2074,SI4289,5 Grain Biscuits 300gm,1,130,130,,130
2/5/2074,SI4289,Britania top 200 gm,1,50,50,,50
2/5/2074,SI4289,Googly 250g,1,60,60,,60
2/5/2074,SI4289,Khursani ko dhulo 100 gm,1,35,35,,35
2/5/2074,SI4289,Nebico saltino 155gm,1,35,35,,35
2/5/2074,SI4289,Britania Bourbn cream biscuits 200gm,1,80,80,,80
2/5/2074,SI4289,BRT Wheat Rusks 235 g,1,80,80,,80
2/5/2074,SI4289,Dairy milk shots  14.4 g,6,20,120,,120
2/5/2074,SI4289,Nescafe Classic 25gm,1,120,120,,120
2/5/2074,SI4289,Lakhamari ananta shakti 500 gm,1,155,155,,155
2/5/2074,SI4289,Tarai taichin 1kg,1,70,70,,70
2/5/2074,SI4289,Tokla box 500 gm,1,185,185,,185
2/5/2074,SI4289,Puffino Regular grand 160gm,2,50,100,,100
2/5/2074,SI4289,Krack jack 104gm,2,25,50,,50
2/5/2074,SI4289,Top Herbs 200gm,1,65,65,,65
2/5/2074,SI4289,Parle krackjack,1,45,45,,45
2/5/2074,SI4289,Health cream cracker,1,240,240,,240
2/5/2074,SI4290,Everyday milk powder 400gm nestle,1,350,350,,350
2/5/2074,SI4290,Amrit soyabean 1 ltr,1,115,115,,115
2/5/2074,SI4290,Wheel ok,5,20,100,,100
2/5/2074,SI4290,Sugar 1 kg,1,84,84,,84
2/5/2074,SI4291,lays66g,1,40,40,,40
2/5/2074,SI4291,Dairy milk silk caramello 60 gm,1,150,150,,150
2/5/2074,SI4291,laystomato,1,40,40,,40
2/5/2074,SI4291,kitkat share bag 10units 128g,1,195,195,,195
2/5/2074,SI4291,Tiffany Vanilla falvoured 175 gm,1,130,130,,130
2/5/2074,SI4291,Nuties favaourites forever 30gm,1,72,72,,72
2/5/2074,SI4292,5 stars 22 gm,7,20,140,,140
2/5/2074,SI4292,Lwang suku mix 50gm,1,100,100,,100
2/5/2074,SI4292,Kaju 100g,1,170,170,,170
2/5/2074,SI4292,Khapse 200gm,1,70,70,,70
2/5/2074,SI4292,Nestle Milkybar eclairs pkt,1,95,95,,95
2/5/2074,SI4292,clinic plus 340ml,1,205,205,,205
2/5/2074,SI4292,Bag 2 kg,1,5,5,,5
2/5/2074,SI4292,Kismiss yellow 100gm,1,32,32,,32
2/5/2074,SI4293,Dairy milk chocolate 60gm,1,130,130,,130
2/5/2074,SI4293,5 stars 44 gm,1,40,40,,40
2/5/2074,SI4293,Snickers 50g,1,80,80,,80
2/5/2074,SI4293,Barone 22g,1,20,20,,20
